범죄대분류,범죄중분류,계,없음,전과(소계),전과(1범),전과(2범),전과(3범),전과(4범),전과(5범),전과(6범),전과(7범),전과(8범),전과(9범이상),미상
강력범죄,살인기수,379,116,196,45,30,17,11,19,8,11,9,46,67
강력범죄,살인미수등,616,152,399,67,50,44,30,35,19,24,21,109,65
강력범죄,강도,1716,318,1243,181,134,101,98,82,72,52,52,471,155
강력범죄,강간,5829,1633,2617,622,408,319,211,169,137,114,104,533,1579
강력범죄,유사강간,598,209,289,77,39,36,24,22,14,12,10,55,100
강력범죄,강제추행,16016,5613,8197,2190,1335,974,680,512,403,314,255,1534,2206
강력범죄,기타 강간 강제추행등,521,165,309,67,38,44,26,20,17,9,15,73,47
강력범죄,방화,1396,341,925,171,137,94,73,69,42,43,34,262,130
절도범죄,절도범죄,106415,40423,57388,12962,8252,5869,4388,3645,2848,2415,1970,15039,8604
폭력범죄,상해,65695,16340,44319,8018,6129,4812,3705,3158,2591,2034,1766,12106,5036
폭력범죄,폭행,216857,32232,81861,15941,11367,9033,7031,5888,4682,3821,2970,21128,102764
폭력범죄,체포 감금,1687,294,838,168,133,94,73,50,47,44,18,211,555
폭력범죄,협박,16825,2989,9460,1761,1299,1021,863,682,515,443,381,2495,4376
폭력범죄,약취 유인,305,83,137,21,23,18,10,9,1,7,4,44,85
폭력범죄,폭력행위등,40963,14017,20078,4941,3145,2286,1644,1302,1063,799,669,4229,6868
폭력범죄,공갈,3638,758,1932,289,201,167,122,109,100,81,66,797,948
폭력범죄,손괴,34995,7933,21895,4241,3180,2463,1906,1576,1241,980,819,5489,5167
지능범죄,직무유기,642,124,41,19,12,7,2,-,-,-,-,1,477
지능범죄,직권남용,577,80,30,13,9,2,3,2,-,1,-,-,467
지능범죄,증수뢰,788,242,376,105,68,42,28,29,18,11,13,62,170
지능범죄,통화,220,29,67,13,7,8,4,8,-,-,-,27,124
지능범죄,문서 인장,18024,3798,5767,1268,875,621,460,412,294,260,183,1394,8459
지능범죄,유가증권인지,373,18,128,10,13,10,9,9,9,3,7,58,227
지능범죄,사기,223210,27040,86236,12940,10070,8459,6742,5774,4864,3887,3276,30224,109934
지능범죄,횡령,35583,7419,13094,2945,1984,1446,1150,917,678,550,452,2972,15070
지능범죄,배임,7608,926,1887,481,377,242,165,130,82,69,52,289,4795
풍속범죄,성풍속범죄,11207,5705,4665,1452,854,531,349,274,260,132,132,681,837
풍속범죄,도박범죄,33942,9244,22982,5102,3939,2882,2236,1733,1330,1081,879,3800,1716
특별경제범죄,특별경제범죄,77669,16644,37970,7369,5284,3952,3101,2511,2020,1597,1284,10852,23055
마약범죄,마약범죄,8443,2270,5275,774,404,314,285,249,216,213,191,2629,898
보건범죄,보건범죄,21649,7809,11052,3406,2220,1481,969,673,454,351,251,1247,2788
환경범죄,환경범죄,3802,822,2525,556,367,307,219,206,169,98,77,526,455
교통범죄,교통범죄,555352,129526,260429,69073,46899,32859,24147,18368,13925,10300,7971,36887,165397
노동범죄,노동범죄,5860,3021,2439,746,420,313,232,154,124,85,73,292,400
안보범죄,안보범죄,151,28,50,20,1,5,6,4,3,-,1,10,73
선거범죄,선거범죄,1525,424,657,168,127,88,72,44,32,19,17,90,444
병역범죄,병역범죄,15659,5799,9217,2627,1747,1197,868,686,491,359,244,998,643
기타범죄,기타범죄,310870,84720,156337,37273,25565,18322,13676,10781,8402,6585,5191,30542,69813
